#;Núm. da RI;Ordem;Equipam.;TAG (Campo);Local Instalação;Data Máx. RI;Desc. Componente;Desc. Problema;Texto descritivo da RI
1;20043998;;;;SUA.GLP.PIER01;42973;;;Conteúdo da notaPrio.: CCANCELADANenhuma ação existenteNenhuma medida existenteNenh.item existente
2;20041742;52045277;10289428;TQ-631402;SUA.BNK.ARMZNT.TQ-631402;45834;BACIA DE CONTENÇÃO-ACESSOS;PROCESSO CORROSIVO;"Conteúdo da notaPrio.: PPROCESSO CORROSIVONenhuma ação existenteMedida: Imprimir Relatório InspeçãoStatus: Medida concluídaITEM    1Probl.: PROCESSO CORROSIVO- Guarda-corpo da escada de acesso à bacia do tanque;- Solda de ligação do suporte metálico a plataforma próximo a válvula depé-de-tanque;Realizar preparação de superfície através de jateamento abrasivo ou porferramentas mecânico-rotativas conforme SSP-SP11 ou tratamento mecânicoaté o grau de acabamento Sa2 1/2 da ISO 8501-1, em seguida, realizaresquema de pintura condição 1, item 4.1 da norma Petrobras N-1550.NOTA 1: Para a realização desse serviço é imprescindível um procedimentode pintura baseado na norma Petrobras N-1550 e suas referências eacompanhamento do controle de qualidade;NOTA 2: Atentar para os aspectos de compatibilidade entre as tintasusadas no retoque com as tintas anteriormente utilizadas;NOTA 3: Nos cordões de solda, nos locais internos ou externos as arestade perfis ou nos locais muito próximos ao equipamento a aplicação deveser obrigatoriamente com trinchaParteObjet BACIA DE CONTENÇÃO-ACESSOS"
3;20041747;;10289428;TQ-631402;SUA.BNK.ARMZNT.TQ-631402;45834;TETO FIXO-EXTERNO-GUARDA-CORPO;PROCESSO CORROSIVO;"Conteúdo da notaPrio.: PPROCESSO CORROSIVONenhuma ação existenteNenhuma medida existenteITEM    1Probl.: PROCESSO CORROSIVO- Guarda-corpo do teto do tanque.Realizar preparação de superfície através de jateamento abrasivo ou porferramentas mecânico-rotativas conforme SSP-SP11 ou tratamento mecânicoaté o grau de acabamento Sa2 1/2 da ISO 8501-1, em seguida, realizar esquema de pintura condição 1, item 4.1 da norma Petrobras N-1550.NOTA 1: Para a realização desse serviço é imprescindível um procedimentode pintura baseado na norma Petrobras N-1550 e suas referências eacompanhamento do controle de qualidade;NOTA 2: Atentar para os aspectos de compatibilidade entre as tintasusadas no retoque com as tintas anteriormente utilizadas;NOTA 3: Nos cordões de solda, nos locais internos ou externos as arestade perfis ou nos locais muito próximos ao equipamento a aplicação deveser obrigatoriamente com trinchaParteObjet TETO FIXO-EXTERNO-GUARDA-CORPO"
4;20085493;52576909;10279165;LINTER GASOLINA;NES.TA.SUAPE   .LINPROD.CLA_INT;45927;PINTURA-TUBULAÇÃO;PINTURA SERIAMENTE DANIFICADA;"Conteúdo da notaPrio.: CCANCELADACancelada por não pertencer a LINTER GASOLINA. Já está registrada emoutro relatório.Nenhuma ação existenteNenhuma medida existenteITEM    1Probl.: PINTURA SERIAMENTE DANIFICADA#PREPARAÇÃO DE SUPERFÍCIE E PINTURATratamento da Superfície- Preparar a superfície conforme o item 3.5 e 3.6 da Norma PetrobrasN-442.- Utilizar métodos que permitam a abertura do perfil de rugosidade de 50a 100 micrometros (jato abrasivo seco/úmido ou hidrojateamento comabrasivos).- Alternativamente o tratamento pode ser feito através de ferramentasmecânico-rotativas tipo ""wire bristle impact"" ou ""rotary flap"", conformeSSPC SP11. Desde se atinja o grau de limpeza e rugosidades determinadospelo padrão SSPC SP11. Deve ser avaliada as condições técnicas eeconômicas para realizar este tipo de tratamento.- Atentar para os critérios das tabelas 1 e 2 da norma N-9, narealização da preparação, mesmo que seja escolhido o SSPC SP11.- Realizar e registrar as medições de rugosidade a cada metro linear detubulação.- Se a pintura for realizada em campo, utilizar o inibidor de flash rustdescrito no item 4.2.2 da norma N-9.Pintura- Aplicar a pintura conforme a Condição 1 da norma N-442.-Tinta de fundo: Aplicar demão única com espessura mínima de películaseca de 100 micrometros do revestimento especificado na PETROBRASN-2630, por meio de pistola sem ar ou trincha.- Tinta de acabamento: Aplicar uma demão de tinta de poliuretanoacrílico, conforme especificada na PETROBRAS N-2677, por meio de pistolasem ar ou trincha, com espessura mínima de película seca de 70micrometros.- Aplicar a tinta de fundo no menor tempo possível após o tratamento dasuperfície.- Respeitar criteriosamente os tempos de secagem e entre demãos dofabricante das tintas. Na ausência dessas informações, usar os temposdescritos na norma da tinta.- A alternativa de utilizar a tinta de fundo N-2680 não se aplica a esteserviço.- Realizar todos os testes e emitir os relatórios de controle dequalidade previstos nas normas N-9 e N-13.Localização: STP-66;Posição Horária: 6h.ParteObjet PINTURA-TUBULAÇÃO"
5;20043367;52045279;10279254;LINTER SCI;SUA.SCI.LINTER;45937;LINHA-FLANGE;PROCESSO CORROSIVO;"Conteúdo da notaPrio.: PPROCESSO CORROSIVONenhuma ação existenteNenhuma medida existenteITEM    1Probl.: PROCESSO CORROSIVO- Substituir os últimos flanges na chegada do TQ-631301 das linhas4""-AF-5420-1000-Bh (XV-5420-001) e 4""-AF-5420-1001-Bh (XV-5420-002).Os novos flanges devem ser instalados, de modo que seja contemplado asubstituição das curvas do cordão de solda corroído.NOTA¹: Especificação do material conforme norma Petrobras N-76, padrãoBh. Flange Ø 4"" , ASTM A 105, 150# , PE FR.NOTA²- Procedimento de soldagem específico(EPS e IEIS) conforme normaPetrobras N-133; Ensaios - 100% visual na raiz e no acabamento e 10%Radiografia, conforme norma Petrobras N-115, tabela A2.OBS: Quando aprovado pela PETROBRAS, o exame com ultrassom pode serusado em substituição ao radiográfico, desde que atendidos os requisitosda norma de projeto aplicável, bem como os requisitos específicos danorma Petrobras N-115.ParteObjet LINHA-FLANGE"
6;20103449;;10163543;TQ631301;NES.TA.SUAPE   .ARMAT02.BNK_TQ01;45972;TETO FIXO-EXTERNO-VALV. PRESS. VÁCUO;OUTROS;"Conteúdo da notaPrio.: BCORRIGIR TAG'S PLAQUETA E CORPOAção  OutraNenhuma medida existenteITEM    1Probl.: OUTROS# Na PVV-631301 do TQ-631301: - Corrigir TAG errado na plaqueta (PVV-6313001) para o TAG corretoPVV-631301; - Corrigir TAG errado no corpo de (VPV-6313001) para o TAG corretoPVV-631301.REFERÊNCIA: TQ-631301 (TA-SUAPE).ParteObjet TETO FIXO-EXTERNO-VALV. PRESS. VÁCUO"
7;20044379;;10163551;TQ631302;SUA.CLA.ARMZNT.TQ-631302;45987;COSTADO EXTERNO-PLATAFORMAS;PROCESSO CORROSIVO;Conteúdo da notaPrio.: PCÂMARA DE ESPUMA - PLATAFORMA DE ACESSONenhuma ação existenteNenhuma medida existenteITEM    1Probl.: PROCESSO CORROSIVOEfetuar reparo no piso da plataforma de acesso a câmara de espumaParteObjet COSTADO EXTERNO-PLATAFORMAS
8;20100208;;10163551;TQ631302;NES.TA.SUAPE   .ARMAT02.BNK_TQ02;46028;TETO FIXO-EXTERNO-GUARDA-CORPO;PROCESSO CORROSIVO;Conteúdo da notaPrio.: CCorrosão guarda-corpo tetoNenhuma ação existenteNenhuma medida existenteITEM    1Probl.: PROCESSO CORROSIVORealizar tratamento de superfície e pintura nas regiões do guarda-corpodo teto que apresentam processo corrosivo.Realizar serviços conforme N-1550.ParteObjet TETO FIXO-EXTERNO-GUARDA-CORPO
9;20105208;;10204463;V6124001;NES.TA.SUAPE   .AOP    .OFC_CALD;46028;VASO EXTERNO-PLACA DE IDENTIFICAÇÃO;NÃO ATENDE NR-13;"Conteúdo da notaPrio.: BCORRIGIR POSIÇÃO PLACA DE IDENTIFICAÇÃOAção  ServiçoNenhuma medida existenteITEM    1Probl.: NÃO ATENDE NR-13OPÇÃO 1) Inverter a posição do vaso do compressor, de forma que a placade identificação fique voltada para a frente do vaso;OUOPÇÃO 2) Realocar a placa de identificação, de modo que ela fiquevoltada para frente e bem afixada ao vaso.NOTA: a execução da OPÇÃO 1 implica na pintura da categoria e TAG naparte frontal do casco do vaso.ParteObjet VASO EXTERNO-PLACA DE IDENTIFICAÇÃO"
10;20099578;52664966;10163742;PSV6313005;NES.TA.SUAPE   .ARMAT02.CLA;46029;PSV EXTERNO-CORPO E FLANGES;OUTROS DEFEITOS;Conteúdo da notaPrio.: COUTROS DEFEITOSNenhuma ação existenteNenhuma medida existenteITEM    1Probl.: OUTROS DEFEITOSConsiderando o tipo de PSV e seu histórico nos últimos teste derecepção. solicito a substituição da válvula de segurança PSV-6313005roscada com união, para uma válvula flangeada.ParteObjet PSV EXTERNO-CORPO E FLANGES
11;20100398;;10274632;TQ631310;NES.TA.SUAPE   .ARMAT05.CLA_TQ10;46031;PINTURA-COSTADO EXTERNO/ACESSÓRIOS;PINTURA LEVEMENTE DANIFICADA;"Conteúdo da notaPrio.: CTRATAR E PINTAR PROC CORROSIVOS COSTADONenhuma ação existenteNenhuma medida existenteITEM    1Probl.: PINTURA LEVEMENTE DANIFICADAPROCESSOS CORROSIVOS ATMOSFÉRICOSEfetuar tratamento superficial e pintura nos pontos do costado indicadosabaixo, onde se encontram processos corrosivos ativos:- No anel inferior junto à solda do costado com o fundo, ao longo de  todo o contorno do tanque;- Sob a plataforma da câmara de espuma do SCI;- Boca de visita: nas bordas da chapa e flange, estojos, porcas e no  turco de abertura;- Porta de limpeza: nas bordas da chapa e flange, estojos, porcas e no  turco de abertura;- Suspiro lateral: no corpo e na tela de fechamento.Seguir esquema de pintura da 'Condição 7' da PETROBRAS N-2913 e demaisrequisitos desta norma.ParteObjet PINTURA-COSTADO EXTERNO/ACESSÓRIOSCausa:FALHA DO REVESTIMENTO DE PROTEÇÃO"
